id,record_type,view_id,row_id,column_id,capability_refs,need,operation,outcome,implementation_status,standing,source_refs,code_refs,test_refs,account_ref,relation,coverage,extensions,question
cap.aikit.discovery,capability,,,,[],Find tools and Skills already present,Inspect registered and foreign source roots,A provenance-bearing inventory before adoption,Implemented source contract; linked tests not freshly executed in this documentation pass,agent-inference,README.md,crates/aikit-adapters/src/local_source_discovery.rs,crates/aikit-cli/tests/foreign_discover.rs,aikit.html#q0/continuity,,,"{""basis"": ""Source-recovered capability account; original verification limits retained in Markdown."", ""converted_from_sha256"": ""9f8f34f320e78a72402844f14f7cf0607485953264edee23e2ce2574c0027c0b"", ""maintenance"": {""updated_at"": ""2026-09-06"", ""change_refs"": [""codex:thread:01a07608-d2ec-7b10-9713-74c445adf8a5"", ""EpiLogos/O-I#97""], ""code_basis"": {""crates/aikit-adapters/src/local_source_discovery.rs"": ""5757fdbd6f089e4302c34a10d665a86d104d7f894be3189ca0a0550c6724aa04""}}, ""cli_commands"": [""init"", ""collate"", ""source add-directory"", ""source add-git"", ""source set-revision"", ""source sync"", ""source show""], ""cli_exposure"": {""kind"": ""direct"", ""reason"": ""Native CLI leaf commands recovered recursively from target/debug/aikit --help after a local build.""}, ""last_reconciled_at"": ""2026-09-06T14:30:23.997737+00:00""}",
cap.aikit.adoption,capability,,,,[],Manage useful existing material deliberately,Preview adoption and apply a reviewed change,Managed source with preserved originals and explicit conflicts,Implemented source contract; linked tests not freshly executed in this documentation pass,agent-inference,README.md,crates/aikit-cli/src/main.rs,crates/aikit-cli/tests/adopt_command.rs,aikit.html#q0/continuity,,,"{""basis"": ""Source-recovered capability account; original verification limits retained in Markdown."", ""converted_from_sha256"": ""9f8f34f320e78a72402844f14f7cf0607485953264edee23e2ce2574c0027c0b"", ""maintenance"": {""updated_at"": ""2026-09-09"", ""change_refs"": [""codex:thread:01a07608-d2ec-7b10-9713-74c445adf8a5"", ""EpiLogos/O-I#97"", ""hermes-nara:session:2026-09-07-gateway-reconcile"", ""EpiLogos/ai-kit#192"", ""hermes-nara:session:2026-09-08-acp-residue-reconcile"", ""EpiLogos/ai-kit#198"", ""EpiLogos/ai-kit#206"", ""EpiLogos/ai-kit#210"", ""wiki-continuity:CASE-11-project-recency"", ""wiki-continuity:case18-case19-completion"", ""https://github.com/EpiLogos/ai-kit/issues/247"", ""wiki-continuity:CASE-04-context-pressure"", ""https://github.com/EpiLogos/ai-kit/pull/255"", ""EpiLogos/ai-kit#259""], ""code_basis"": {""crates/aikit-cli/src/main.rs"": ""922ee7b523a3805eff5b3bdcd76d1ed6248aaeb4546486496e71fea942d5287e""}}, ""cli_commands"": [""adopt"", ""source promote"", ""source rollback"", ""procedure plan adopt""], ""cli_exposure"": {""kind"": ""direct"", ""reason"": ""Native CLI leaf commands recovered recursively from target/debug/aikit --help after a local build.""}, ""last_reconciled_at"": ""2026-09-09T16:03:25.077583+00:00""}",
cap.aikit.resource-index,capability,,,,[],Find a capability by identity or description,Build and search typed provider descriptors,Addressable resources with owners and revisions,Implemented source contract; linked tests not freshly executed in this documentation pass,agent-inference,docs/v2/01-PRODUCT-AND-OWNERSHIP.md,crates/aikit-core/src/resource/index.rs,crates/aikit-core/tests/v2_resource_foundation.rs,aikit.html#q1/product,,,"{""basis"": ""Source-recovered capability account; original verification limits retained in Markdown."", ""converted_from_sha256"": ""9f8f34f320e78a72402844f14f7cf0607485953264edee23e2ce2574c0027c0b"", ""maintenance"": {""updated_at"": ""2026-09-06"", ""change_refs"": [""codex:thread:01a07608-d2ec-7b10-9713-74c445adf8a5"", ""EpiLogos/O-I#97""], ""code_basis"": {""crates/aikit-core/src/resource/index.rs"": ""ae9da277b48c956d648d30c3bfaaeafc71b3961a954d7a41e883bd0d5a772466""}}, ""cli_commands"": [""search"", ""z"", ""tree"", ""ui"", ""capabilities list"", ""capabilities read""], ""cli_exposure"": {""kind"": ""direct"", ""reason"": ""Native CLI leaf commands recovered recursively from target/debug/aikit --help after a local build.""}, ""last_reconciled_at"": ""2026-09-06T14:30:23.997737+00:00""}",
cap.aikit.context-resolution,capability,,,,[],Know what applies to this Project and act,"Resolve scoped declarations and eligibility; start Factory work through its native Commission operation; when both Factory bindings are explicit, validate and install Factory-owned Project, Journey, Run, WorkflowUnit, telemetry and Routine-continuation readings into the existing resource horizon","An exact Factory Commission receipt and readback plus an explainable current capability and source view; explicitly bound Factory development appears losslessly, while absent, partial or inconsistent bindings install nothing",Implemented source contract; focused AIKit application/TUI tests and exact Factory #212 Commission/conformance tests passed on 2026-09-09,implementation-fact,docs/v2/02-RESOLUTION-AND-CONTEXT-COGNITION.md;docs/USING-AIKIT.md,crates/aikit-core/src/context_resolution.rs;crates/aikit-adapters/src/factory_developmental.rs;crates/aikit-adapters/src/lib.rs;crates/aikit-cli/src/app/mod.rs;crates/aikit-cli/src/cli.rs;crates/aikit-cli/src/main.rs;crates/aikit-core/src/project_world.rs;crates/aikit-core/src/resource/model.rs;crates/aikit-tui/src/application_service.rs;crates/aikit-tui/src/project_workspace_render.rs;crates/aikit-tui/src/application.rs;crates/aikit-tui/src/application_surface.rs;crates/aikit-tui/src/backend.rs;crates/aikit-tui/src/compose_preview.rs;crates/aikit-tui/src/workspace_navigation.rs,crates/aikit-core/tests/context_resolution_v2.rs;crates/aikit-adapters/tests/factory_developmental_native.rs;crates/aikit-cli/tests/factory_start_work_native.rs;crates/aikit-tui/tests/project_world_surface_v2.rs;crates/aikit-cli/tests/factory_work_tui_native.rs,aikit.html#q2/start,,,"{""basis"": ""AIKit starts developmental work only by forwarding an exact versioned Commission request through Factory's public CLI, preserving its receipt and canonical readback. The shared Work presentation distinguishes DIRECT, FACTORY and ATTENTION; it renders only preserved Factory-owned readings and labels absent ancestry and commissioned-not-executed truth explicitly. Factory mints and persists its identities. Bound readings retain canonical refs, revisions, provenance, actions and raw owner envelopes; AIKit asserts neither runtime-binary identity nor execution from commissioned-not-executed evidence. All joined relations fail closed before partial install."", ""converted_from_sha256"": ""9f8f34f320e78a72402844f14f7cf0607485953264edee23e2ce2574c0027c0b"", ""maintenance"": {""updated_at"": ""2026-09-09"", ""change_refs"": [""codex:thread:01a07608-d2ec-7b10-9713-74c445adf8a5"", ""EpiLogos/O-I#97"", ""hermes-nara:session:2026-09-08-acp-residue-reconcile"", ""EpiLogos/ai-kit#198"", ""wiki-continuity:CASE-11-project-recency"", ""https://github.com/EpiLogos/ai-kit/issues/211"", ""https://github.com/EpiLogos/agent-system-design/issues/201"", ""https://github.com/EpiLogos/agent-system-design/commit/1a740b502c121a2eac1e4554c272b35fdebc5c4f"", ""https://github.com/EpiLogos/agent-system-design/pull/212"", ""https://github.com/EpiLogos/agent-system-design/commit/12a721dbbb51e3c70d52ef00220efa859ef930fd"", ""https://github.com/EpiLogos/ai-kit/pull/255"", ""wiki-continuity:root-domain-register"", ""wiki-continuity:one-query-path"", ""EpiLogos/ai-kit#259"", ""EpiLogos/ai-kit#257""], ""code_basis"": {""crates/aikit-core/src/context_resolution.rs"": ""64fc6788bfa1eea88f8fc0a18f6c41806113337387184db2fef05c10773c90a4"", ""crates/aikit-adapters/src/factory_developmental.rs"": ""705837645589d693d9f55caa62d66a6ef8c9beb5274ac5031379b296f7e510bd"", ""crates/aikit-adapters/src/lib.rs"": ""ecebbf503c2ea8c6d8b963790004bbc5f16ad330f1af9ddade5a56ec4e54c72b"", ""crates/aikit-cli/src/app/mod.rs"": ""80a230e103c8ea74fee778a1ea626d017e45310d1451a028c904bfbb52f83f94"", ""crates/aikit-cli/src/cli.rs"": ""e2281754752612e333ca8252d27250c12638a93888beb6cbcdeba77f5859562c"", ""crates/aikit-cli/src/main.rs"": ""922ee7b523a3805eff5b3bdcd76d1ed6248aaeb4546486496e71fea942d5287e"", ""crates/aikit-core/src/project_world.rs"": ""4ceb3d146c9a0be9a80ab91d2e7feed52e97ad5b3461654722b104affa6c579b"", ""crates/aikit-core/src/resource/model.rs"": ""0ac180df43df96700f12750ac1c588ae56b9dd7045ab651cfa111aae366d64e5"", ""crates/aikit-tui/src/application_service.rs"": ""4f569c56c7d888a0e83ead6750e33bbf025b2792f594efdde33a100a11cf91ce"", ""crates/aikit-tui/src/project_workspace_render.rs"": ""c07752ed4acd80dd7acbfbc8d3d001c856687a2929bf1132c80190f4ac64d6c9"", ""crates/aikit-tui/src/application.rs"": ""dbfac41fc75881c2caba3cc56b061d457ba0045e2cea014a5192ab65d5df0613"", ""crates/aikit-tui/src/application_surface.rs"": ""4518d1f6dbf78ec62b58aecb177e66f5d64e556006a35dbbe35dd7aa11253fd9"", ""crates/aikit-tui/src/backend.rs"": ""09d28eae8f788275876bad0a824de30e69bd777aeac7e1b930615b3f50af2e4f"", ""crates/aikit-tui/src/compose_preview.rs"": ""e6623697c77acaebd23c6679b19acfd9c9afd0b2d01fdb8843055fc520edb2af"", ""crates/aikit-tui/src/workspace_navigation.rs"": ""f858fa0d7b07f330b28fb59fb23bb84d61f3fb2c45eca2ab4682d7b0628be5a4""}}, ""cli_commands"": [""project bind"", ""project show"", ""project defaults"", ""status"", ""diff"", ""context current"", ""context list"", ""context env"", ""credential setup"", ""credential explain"", ""credential list"", ""project list"", ""factory start-work""], ""cli_exposure"": {""kind"": ""direct"", ""reason"": ""Native CLI leaf commands recovered recursively from target/debug/aikit --help after a local build.""}, ""last_reconciled_at"": ""2026-09-09T17:55:43.042119+00:00""}",
cap.aikit.profiles,capability,,,,[],Reuse a baseline while expressing local needs,Select and compose Profile contributions,Effective choices traceable to scope,Implemented source contract; linked tests not freshly executed in this documentation pass,agent-inference,docs/v2/18-PROFILE-COMPOSITION-APPLICATION-PARITY.md,crates/aikit-core/src/composition.rs,crates/aikit-core/tests/profile_composition_v2.rs,aikit.html#q4/contexts,,,"{""basis"": ""Source-recovered capability account; original verification limits retained in Markdown."", ""converted_from_sha256"": ""9f8f34f320e78a72402844f14f7cf0607485953264edee23e2ce2574c0027c0b"", ""maintenance"": {""updated_at"": ""2026-09-06"", ""change_refs"": [""codex:thread:01a07608-d2ec-7b10-9713-74c445adf8a5"", ""EpiLogos/O-I#97""], ""code_basis"": {""crates/aikit-core/src/composition.rs"": ""d7f875b975656b956d3e70efb031d6ab649c601a4a28f65a9c542e666fd3cc88""}}, ""cli_commands"": [""profile fork"", ""profile diff"", ""set list"", ""set show"", ""set create"", ""set add"", ""set remove"", ""skill overlay set"", ""skill overlay show"", ""skill overlay clear""], ""cli_exposure"": {""kind"": ""direct"", ""reason"": ""Native CLI leaf commands recovered recursively from target/debug/aikit --help after a local build.""}, ""last_reconciled_at"": ""2026-09-06T14:30:23.997737+00:00""}",
cap.aikit.generation,capability,,,,[],Apply a predictable capability selection,Build and publish generated state against its basis,A coherent replaceable target view,Implemented source contract; linked tests not freshly executed in this documentation pass,agent-inference,docs/ARCHITECTURE.md,crates/aikit-core/src/projection.rs,crates/aikit-core/tests/projection.rs,aikit.html#q2/start,,,"{""basis"": ""Source-recovered capability account; original verification limits retained in Markdown."", ""converted_from_sha256"": ""9f8f34f320e78a72402844f14f7cf0607485953264edee23e2ce2574c0027c0b"", ""maintenance"": {""updated_at"": ""2026-09-09"", ""change_refs"": [""codex:thread:01a07608-d2ec-7b10-9713-74c445adf8a5"", ""EpiLogos/O-I#97"", ""https://github.com/EpiLogos/ai-kit/issues/247""], ""code_basis"": {""crates/aikit-core/src/projection.rs"": ""550df98f3f9c2f9667f4aa6ab6bb2ae61cbd9d391207ddbd0e5726da1f648a49""}}, ""cli_commands"": [""apply"", ""rollback"", ""prune""], ""cli_exposure"": {""kind"": ""direct"", ""reason"": ""Native CLI leaf commands recovered recursively from target/debug/aikit --help after a local build.""}, ""last_reconciled_at"": ""2026-09-09T10:56:21.703327+00:00""}",
cap.aikit.projection,capability,,,,[],Use the selected capabilities in a supported client,Render adapter-specific projection,Native client configuration with source lineage,Implemented source contract; linked tests not freshly executed in this documentation pass,agent-inference,docs/AGENT-HARNESS-INTEGRATION.md,crates/aikit-core/src/projection.rs,crates/aikit-adapters/tests/codex.rs,aikit.html#q0/continuity,,,"{""basis"": ""Source-recovered capability account; original verification limits retained in Markdown."", ""converted_from_sha256"": ""9f8f34f320e78a72402844f14f7cf0607485953264edee23e2ce2574c0027c0b"", ""maintenance"": {""updated_at"": ""2026-09-09"", ""change_refs"": [""codex:thread:01a07608-d2ec-7b10-9713-74c445adf8a5"", ""EpiLogos/O-I#97"", ""https://github.com/EpiLogos/ai-kit/issues/247""], ""code_basis"": {""crates/aikit-core/src/projection.rs"": ""550df98f3f9c2f9667f4aa6ab6bb2ae61cbd9d391207ddbd0e5726da1f648a49""}}, ""cli_commands"": [""client install"", ""client launch"", ""client status"", ""mux install"", ""mux detect"", ""hook dispatch""], ""cli_exposure"": {""kind"": ""direct"", ""reason"": ""Native CLI leaf commands recovered recursively from target/debug/aikit --help after a local build.""}, ""last_reconciled_at"": ""2026-09-09T10:56:21.703327+00:00""}",
cap.aikit.source-horizon,capability,,,,[],Ask about a broad body of knowledge selectively,List eligible descriptors then explicitly retrieve,Exact source material with provenance and disclosure state,Implemented source contract; the SourcePool tag filter and its native baseline were exercised on 2026-09-08 against real corpus material,agent-inference,docs/v2/02-RESOLUTION-AND-CONTEXT-COGNITION.md,crates/aikit-core/src/context_source.rs;crates/aikit-core/src/knowledge_source_pool.rs,crates/aikit-core/tests/context_sources_v2.rs,aikit.html#q2/investigate,,,"{""basis"": ""Source-recovered capability account; original verification limits retained in Markdown. The provider-neutral SourcePool contract joins this capability's code basis: it is where a source's tags live and where every provider's tag-filtered search is defined. An empty query carrying a tag filter is a browse over that vocabulary, not a no-op."", ""converted_from_sha256"": ""9f8f34f320e78a72402844f14f7cf0607485953264edee23e2ce2574c0027c0b"", ""maintenance"": {""updated_at"": ""2026-09-08"", ""change_refs"": [""codex:thread:01a07608-d2ec-7b10-9713-74c445adf8a5"", ""EpiLogos/O-I#97"", ""wiki-continuity:tags-ride-the-source-pool""], ""code_basis"": {""crates/aikit-core/src/context_source.rs"": ""c2b25168412d98f12c6cd0411d871e1e503f26c3ef8fa560951e23c017387380"", ""crates/aikit-core/src/knowledge_source_pool.rs"": ""2e83af5d7d8ba992d9592d79d69e8a153b72695d4416fcd0c13a3ceffdc194f1""}}, ""cli_commands"": [""knowledge search"", ""knowledge read"", ""knowledge sources""], ""cli_exposure"": {""kind"": ""direct"", ""reason"": ""Native CLI leaf commands recovered recursively from target/debug/aikit --help after a local build.""}, ""last_reconciled_at"": ""2026-09-08T22:56:23.094235+00:00""}",
cap.aikit.knowledge-navigation,capability,,,,[],Move from a question to related source,Search providers and expand a bounded neighbourhood,Inspectable routes across distinct knowledge lenses,"Implemented provider contract and deletable SQLite Wiki materialisation; 11 navigation unit tests passed on 2026-09-08, including the SourcePool tag filter",agent-inference,registry/capsules/skill/aikit/knowledge-navigation/payload/SKILL.md,crates/aikit-core/src/knowledge_wiki_index.rs;crates/aikit-core/src/knowledge_navigation.rs;crates/aikit-core/src/knowledge_wiki_provider.rs;crates/aikit-store/src/knowledge_wiki.rs,crates/aikit-cli/tests/knowledge_application_v2.rs;crates/aikit-core/src/knowledge_wiki_provider.rs;crates/aikit-store/src/knowledge_wiki.rs,aikit.html#q2/investigate,,,"{""basis"": ""Knowledge navigation now dispatches Wiki operations through a provider trait. The local SQLite projection preserves canonical refs, is reusable only for exact owner-authored register revisions, and is revalidated by the core semantic rebuild before serving. Search distinguishes curated Wiki objects from the authored sources they cite: each hit carries its own address type, so a cited source is findable and addressable as a Source without ever resolving as curated Wiki identity, and curated objects keep precedence when relevance cannot separate them. A cited source also discloses whether this horizon can open it: search names an unmaterialised cited source in its absences, reading it refuses with its own code and the citing nodes named, and explaining or routing it answers from the Wiki's record of the citation rather than failing. A `tag:<value>` term in a query now narrows the SourcePool instead of being matched as text: the filter is lifted out of the query and passed to each provider's tag-filtered search, and a provider that cannot filter by tag is disclosed and skipped rather than silently answering the broader question. The single production call previously passed an empty tag slice, leaving the tag facility every provider implements — and bkmr advertises through `--tags` — implemented, capability-detected and unreachable. A cited source's relations are the curated nodes that cite it: backlinks and neighbours answer with those nodes rather than an empty list, and the citation walk no longer requires the source to be materialised in the SourcePool."", ""cli_commands"": [""knowledge search"", ""knowledge relations"", ""knowledge frame"", ""knowledge explain"", ""knowledge status"", ""knowledge read"", ""knowledge route"", ""knowledge sources"", ""knowledge history"", ""knowledge forget destination"", ""knowledge forget route"", ""knowledge forget project"", ""knowledge forget all""], ""cli_exposure"": {""kind"": ""direct"", ""reason"": ""Native CLI leaf commands recovered recursively from target/debug/aikit --help after a local build.""}, ""converted_from_sha256"": ""9f8f34f320e78a72402844f14f7cf0607485953264edee23e2ce2574c0027c0b"", ""last_reconciled_at"": ""2026-09-09T14:52:11.454530+00:00"", ""maintenance"": {""change_refs"": [""codex:thread:01a07608-d2ec-7b10-9713-74c445adf8a5"", ""EpiLogos/O-I#97"", ""EpiLogos/ai-kit#216"", ""wiki-continuity:per-register-revisions"", ""wiki-continuity:sqlite-provider"", ""wiki-continuity:sqlite-provider-fix"", ""wiki-continuity:authored-source-findability"", ""wiki-continuity:cited-source-readability"", ""wiki-continuity:tags-ride-the-source-pool"", ""wiki-continuity:case18-case19-completion"", ""wiki-continuity:one-query-path""], ""code_basis"": {""crates/aikit-core/src/knowledge_navigation.rs"": ""1eac7d13f7a81cb9ecc825996358b1b25af1674ee83f4fbc187d77e9c4d68eba"", ""crates/aikit-core/src/knowledge_wiki_provider.rs"": ""68d8a8b82fa9ca1aaf622c8b3b3b48b421e99502c54192b4207f31b48e3dcc5f"", ""crates/aikit-store/src/knowledge_wiki.rs"": ""49e67684c0596a7ee2b9b3d060ee66bac8f56b97e48c770890b91ad17caa89d7"", ""crates/aikit-core/src/knowledge_wiki_index.rs"": ""ab0735f9d7af6d55afc181cb203d8fcc07aa48586dd71146a0e88bce187e918f""}, ""updated_at"": ""2026-09-09""}}",
cap.aikit.wiki-write,capability,,,,[],Record navigational understanding durably,"Explicit node edge space mutations and validation, authored-corpus ingestion, and queries over the resulting field",Atomic valid Wiki revision or unchanged refusal,"Implemented CLI; 18 isolated-file Wiki command tests and 14 corpus-ingest unit tests passed on 2026-09-08, including the SourcePool material ingest now writes beside the Wiki file",agent-inference,registry/capsules/skill/aikit/wiki-inhabitation/payload/SKILL.md,crates/aikit-cli/src/wiki.rs;crates/aikit-core/src/knowledge_ingest.rs,crates/aikit-cli/tests/wiki_commands.rs,aikit.html#q2/maintain,,,"{""basis"": ""Source-recovered capability account; original verification limits retained in Markdown. The Wiki surface also ingests an authored corpus: rooms, records, links, tags and register frontmatter compile into Authored edges against curated nodes, dry-run by default and refusing to overwrite an existing object unless asked, with unresolved links disclosed rather than invented. `wiki query` reads the resulting field's search, neighbours and backlinks. A record's declared bibliography is carried as authored sources it cites, so the works an argument stands on are findable without becoming curated nodes; an empty traversal distinguishes a cited source from a ref the field does not hold. Corpus ingestion reads two authored populations — records declaring `record_id` and source pages declaring `source_id` — and compiles them differently: a record becomes a curated node, a source becomes a SourcePool binding and never a node. Tags are not Wiki objects. They ride `SourceBinding::tags` in the material ingest writes to a discoverable `<wiki-stem>.sources/` shard directory, which is the one tag carrier every SourcePool provider — the native baseline and bkmr's `--tags` alike — already reads; the former `wiki:node:tag/*` node namespace was a second, unrelated tag facility with first-declarer provenance and no vocabulary discipline, and is gone. A record's effective tags are its own plus those of every source it cites, so the vocabulary is read off the register and bibliography that author it rather than generated from `record_type`. Record selection now names, rather than counts, every file that carries corpus metadata but declares no identity: counting them hid an entire authored tag vocabulary from a reader who concluded the corpus declared none. A room is compiled at a caller-given path depth (`--room-depth`, default 1) rather than always from the first path segment: a room is relative to the root ingest was pointed at, and reading the same corpus from its Obsidian vault root one directory above its publication body otherwise collapses every record into a single room. The ingest dry run checks its own proposal set for self-collision, so it never promises an apply that would refuse."", ""converted_from_sha256"": ""9f8f34f320e78a72402844f14f7cf0607485953264edee23e2ce2574c0027c0b"", ""maintenance"": {""updated_at"": ""2026-09-09"", ""change_refs"": [""codex:thread:01a07608-d2ec-7b10-9713-74c445adf8a5"", ""EpiLogos/O-I#97"", ""EpiLogos/ai-kit#215"", ""wiki-continuity:essay-ingestion"", ""wiki-continuity:tags-ride-the-source-pool"", ""wiki-continuity:vault-root-and-room-depth"", ""wiki-continuity:case18-case19-completion"", ""central:identity-anchor-live-manifest""], ""code_basis"": {""crates/aikit-cli/src/wiki.rs"": ""e0ab6292be833608b67ddaf9975243af1196233ffb5bd17d26d609ad57159244"", ""crates/aikit-core/src/knowledge_ingest.rs"": ""c87664ded73773edddcfd829a2b8778da6b5f1f03ca6ec43a295a87c3fd8ad23""}}, ""cli_commands"": [""wiki validate"", ""wiki node create"", ""wiki node update"", ""wiki edge add"", ""wiki space create"", ""wiki space link"", ""wiki root doctor"", ""wiki root prune"", ""wiki root adopt"", ""wiki root anchor"", ""wiki stage"", ""wiki ingest"", ""wiki query search"", ""wiki query neighbours"", ""wiki query backlinks""], ""cli_exposure"": {""kind"": ""direct"", ""reason"": ""Native CLI leaf commands recovered recursively from target/debug/aikit --help after a local build.""}, ""last_reconciled_at"": ""2026-09-09T16:18:45.314659+00:00""}",
